Product Name,Product ID,Category,How likely are you to recommend this product?,"Complete - Yes/No. If No, please provide rationale","Comments"
ASDA KOFTA CAESAR 240G,100555587,BBQ & ADDED VALUE,N/A,No - Other (provide comments),A few of us looked in various shops and online and have not been able to locate this product
ASDA Chicken & Bacon Caesar Wrap 200g,100394289,MAIN,8,Yes,A firm favourite within the FTG range with the entire team (just seems a shame that we have a 2 and a 3 wrap of the same product aswell as the exceptional within a tight modular). Always good quality and tasty!
ASDA Italian Inspired Green Pesto 190g,100117339,RPFF,8,Yes,A flavoursome pesto that's great for quick meals and compares well with more expensive brands.
ASDA House Blend Decaf Roasted Ground 227g,100121446,COFFEE,8,Yes,A fresh-tasting decaf coffee that's easy to prepare. The packaging is practical and keeps the coffee fresh.
ASDA 30 Small Soft Interdental Brushes,100129428,DENTAL,9,Yes,"A good all-round interdental brush that performs well and feels sturdy while using. Unlike some other brands I've tried in the past, these brushes don't bend while cleaning, which is huge positive,  making them much more reliable and effective. I would definitely recommend them over other options I've used.
The packaging is great, feels strong and think it would last the lifetime of the product, there's nothing worse than packaging breaking while you still have lots left & them ending up loose. The instructions were clear and easy to follow on the packaging too . My only minor criticism is that the handles could be slightly larger, as they can feel a little fiddly when trying to reach the back of the mouth. Overall, a great quality product that does what it's designed to do. Note - tried to order online said no stock, but when i did click & collect went into store after and bought it so was available? "
ASDA Hot & Spicy Chicken Wings 1kg,100165541,Meat,9,Yes,"A good amount of wings for the money, nice flavour and enough kick for all taste buds."
ASDA Hot Honey Style Dressing 175ml,100517100,PREP,7,Yes,A good balance of sweet and spicy and pairs well with chicken salads
Exceptional by ASDA Pinotage RosǸ 75cl,100150777,ROSE,7,Yes,A good basic Rose. I prefer them dryer. Bottle label is good. 
ASDA GRATED HALF 250G,100545511,CHEESES,7,Yes,A good everyday cheese that offers decent flavour (if not quite the same as full fat) while being a lighter option.
COOK by ASDA Cook by ASDA Avocado Oil 250ml,100152729,OIL,8,Yes,"A good honest oil. Mild enough that it does not take over, and it handles proper heat, so I have used it for frying and roasting as well as drizzling. Around �3.15 puts it well under the branded avocado oils and I do not think shoppers would notice the difference. It is in the right place in Food Cupboard, but I would push it harder on 'avocado oil' and 'high smoke point' searches."
Bistro by ASDA Green Vegetable Medley 200g,100171804,READY MEALS,9,Yes,A good mix of vegetables and the herb butter adds flavour without drowning everything in it. It feels more interesting than a standard bag of steamed veg. Would buy again.
ASDA Delicious Breaded Chicken Goujons 600g,100170238,BREADED,9,Yes,"A good number of goujons in the pack, decent value for price and on trend with the kids who go to Wingstop and Slim Chickens. 1 goujon not fully coated and looked poor but all others consistent. Crispy when cooked up, slightly heavy on coating but overall scored well with family."
ASDA Tender Diced Turkey Thigh 500g,100170386,TURKEY,6,Yes,"A good price under �5, but for me I perferr the turkey breast mince "
Asda Hero Hero 8 Twisters Rich in Chicken 120g,100143981,WET DOG,3,Yes,"A good price. My dog ate the chew no problem - semed to eat it in a few seconds so maybe could be more substantial. However, a few minutes later my dog was sick so unlikely to buy again and the rest of the pack given away "
ASDA Mixed Fruit 500g,100122320,DRIED FRUIT & NUTS,9,Yes,"A good product at a good price the fruit was a good mixture and full of flavour. The packaging was simple to the point and great to be able to see the product I was selecting, a product I would buy again with no hesitation."
ASDA Peeled Plum Tomatoes in Tomato Juice 400g,100113929,CAN VEGETABLES,9,yes,"A good product would recommend to other 5 good sized plum tomatoes.  Good staple at a reasonable price 47p with ring pull.  Compared to branded products much cheaper.  Compared to Just Essential not a massive price diferential - 3p for 5% more product.  However I did spot a discreptency in them unit priced on different weights.
Own label: 47p shown as �1.81/kg. That divides by roughly 260g, the drained weight of tomatoes once you pour off the juice.
Just Essentials: 43p shown as �1.07/kg. That divides by the full 400g, juice included.
So the two tins are not comparable on shelf, and Just Essentials looks 40% cheaper per kilo than it is."
ASDA 40 All-Purpose Cloths,100120347,CLEANING ACCESSORIES,7,Yes,A good simple cloth for the kitchen.  Durable and comes on a roll which is handy. Good value
EX Blue Cheese 180g,100562255,CHEESES,8,Yes,"A good, soft cheese with a rich flavour and lovely texture. I did struggle to find this online and in store."
Plant Based by ASDA Plant Based 16 Veggie Fingers 452g,100170027,VEGETARIAN,8,Yes,A great alternative to fish fingers and at that price would buy again
OMV! Deliciously Vegan Plant Based OMV! 4 Meat-Free Sausage Rolls 440g,100166573,VEGETARIAN,7,Yes,"A great alternative to pork, the pastry was a bit pale - may be enjoyed better heated up "
